region,image,strut_ids,highest_severity,minimum_rank,center_xyz_mm
1,defect_region_01.png,7848;7851;7876;7877;7878;9864;9892;9893;9894;11650;11851;11875;11878;11880;11908;11910;11911;11938;13638;13663;13665;13857;13865;13884;13888;13892;13899;13926;13927;15712;15912;15939;15940,high,5,12.072;42.333;27.120
2,defect_region_02.png,6141;6151;6166;8114;8136;8160;8164;8170,high,2,20.931;4.571;20.042
3,defect_region_03.png,12619;12639;14625;14637,critical,1,20.391;13.356;33.350
4,defect_region_04.png,14576,critical,4,9.208;13.414;33.628
5,defect_region_05.png,4101,critical,7,14.912;4.155;14.160
6,defect_region_06.png,8764,critical,8,11.541;19.102;20.998
7,defect_region_07.png,14210,critical,11,25.230;6.450;33.660
8,defect_region_08.png,13061,critical,13,18.439;23.680;30.166
9,defect_region_09.png,8823,critical,15,23.018;20.187;19.857
10,defect_region_10.png,17007,critical,16,19.561;20.259;39.352
11,defect_region_11.png,1104;1324;1544;1764;1772;1773;1777;1800;1801;1805;1828;1829;1856;1857,high,41,9.374;41.018;2.584
12,defect_region_12.png,5223;7225;7420,high,24,16.569;29.382;14.856
13,defect_region_13.png,13232;13452,high,27,9.297;30.614;32.433
14,defect_region_14.png,4747;4752,high,29,13.264;18.500;14.119
15,defect_region_15.png,9273;9303,high,33,25.922;27.631;20.986
16,defect_region_16.png,11963;11984,high,40,25.981;40.263;26.685
17,defect_region_17.png,2289;2303,high,48,13.800;9.876;7.261
18,defect_region_18.png,11766;12017,high,69,34.579;39.067;24.975
19,defect_region_19.png,14119,high,25,3.424;4.277;37.089
20,defect_region_20.png,18200,high,37,7.055;42.114;39.281
21,defect_region_21.png,7706,high,45,24.259;38.529;18.660
22,defect_region_22.png,4495,high,50,5.797;15.665;11.827
23,defect_region_23.png,4931,high,51,5.832;22.546;11.808
24,defect_region_24.png,5621,high,53,16.225;36.254;10.631
25,defect_region_25.png,8442,high,55,32.144;10.971;22.184
26,defect_region_26.png,10,high,61,4.591;3.035;4.979
27,defect_region_27.png,2251,high,62,4.618;8.779;8.404
28,defect_region_28.png,13345,high,68,31.084;29.350;30.161
29,defect_region_29.png,946,high,81,16.166;23.621;4.931
