strut_id,class,group_id,confidence,occupancy,gap_length_voxels,gap_position_frac,mean_density,min_density,bbox_extent_frac,centroid_offset_voxels,principal_axis_angle_deg,reasoning
1042,missing,0,high,0.041,0.0,,12840,1020,0.09,0.8,1.2,rule 1: occupancy and directional extent below thresholds
1533,disconnected,1,high,0.84,8.7,0.49,50120,1110,0.96,1.2,1.1,rule 2: internal gap exceeds three voxels
1534,disconnected,1,high,0.79,6.4,0.54,49380,980,0.94,1.5,1.8,rule 2: internal gap exceeds three voxels
2260,missing,2,high,0.063,0.0,,15220,870,0.11,1.1,0.8,rule 1: occupancy and directional extent below thresholds
2261,missing,2,high,0.085,0.0,,17580,1160,0.16,1.4,1.5,rule 1: occupancy and directional extent below thresholds
2262,missing,2,high,0.032,0.0,,10450,640,0.07,0.6,0.9,rule 1: occupancy and directional extent below thresholds
2263,missing,2,high,0.117,0.0,,20840,1320,0.18,1.7,2.0,rule 1: occupancy and directional extent below thresholds
2264,uncertain,0,low,0.14,0.0,,28700,1180,0.31,2.1,3.4,no deterministic rule fit; visual evidence unavailable
2871,thin,0,high,0.61,0.0,,42350,37120,0.97,1.1,1.4,rule 3: partial occupancy and mean density below threshold
3390,bent,0,high,0.91,0.0,,51200,46800,0.93,5.8,12.6,rule 4: centroid offset exceeds three voxels
4120,uncertain,0,low,0.16,2.7,0.51,44650,28600,0.19,2.8,5.4,no deterministic rule fit; visual evidence unavailable
6248,bent,3,high,0.88,0.0,,50600,45420,0.95,4.1,8.9,rule 4: centroid offset exceeds three voxels
6688,bent,3,high,0.86,0.0,,50340,44980,0.91,6.4,14.2,rule 4: centroid offset exceeds three voxels
7128,bent,3,high,0.93,0.0,,51520,47110,0.96,3.7,7.5,rule 4: centroid offset exceeds three voxels
7568,uncertain,0,low,0.89,0.0,,50200,45850,0.96,2.95,11.8,no deterministic rule fit; visual evidence unavailable
9040,disconnected,4,high,0.86,10.2,0.46,50560,760,0.97,1.0,0.7,rule 2: internal gap exceeds three voxels
9041,disconnected,4,high,0.81,7.8,0.48,49740,890,0.95,1.3,1.0,rule 2: internal gap exceeds three voxels
9042,disconnected,4,high,0.73,5.1,0.41,48200,1320,0.91,1.8,2.2,rule 2: internal gap exceeds three voxels
9043,disconnected,4,high,0.88,11.6,0.52,50910,620,0.98,0.9,0.6,rule 2: internal gap exceeds three voxels
9044,disconnected,4,high,0.77,6.9,0.57,48860,1010,0.93,1.7,1.9,rule 2: internal gap exceeds three voxels
9045,disconnected,4,high,0.83,9.4,0.5,50210,720,0.96,1.1,0.8,rule 2: internal gap exceeds three voxels
9046,disconnected,4,high,0.75,4.8,0.62,47680,1450,0.9,2.0,2.5,rule 2: internal gap exceeds three voxels
9047,disconnected,4,high,0.8,7.2,0.44,49130,930,0.94,1.4,1.3,rule 2: internal gap exceeds three voxels
9048,uncertain,0,low,0.82,2.9,0.47,43100,26700,0.91,2.6,4.8,no deterministic rule fit; visual evidence unavailable
12976,thin,5,high,0.57,0.0,,41220,35600,0.95,1.3,1.6,rule 3: partial occupancy and mean density below threshold
13024,thin,5,high,0.64,0.0,,41980,36240,0.96,1.0,1.1,rule 3: partial occupancy and mean density below threshold
13072,thin,5,high,0.71,0.0,,43210,38200,0.98,0.9,0.7,rule 3: partial occupancy and mean density below threshold
13073,uncertain,0,low,0.78,1.4,0.63,44850,39120,0.94,2.9,3.9,no deterministic rule fit; visual evidence unavailable
13120,thin,5,high,0.55,0.0,,40780,34850,0.94,1.5,1.8,rule 3: partial occupancy and mean density below threshold
13168,thin,5,high,0.68,0.0,,42640,37420,0.97,1.2,1.3,rule 3: partial occupancy and mean density below threshold
