sequence_id,pseudo_timestamp,sequence_position,spatial_morton_code,sequence_semantics,is_true_time_series,specimen_id,strut_id,unit_cell_i,unit_cell_j,unit_cell_k,unit_cell_edge_idx,midpoint_x_mm,midpoint_y_mm,midpoint_z_mm,ct_relative_local_intensity,ct_defect_score,ct_support_fraction,ct_longest_gap_fraction,ct_severity_layer,near_boundary_one_cell,angle_to_build_z_deg,mean_endpoint_degree,adtk_iqr_low_anomaly,adtk_quantile_low_anomaly,adtk_persist_negative_anomaly,adtk_detector_votes,adtk_consensus_anomaly
edge_00,2000-01-01T00:05:38,338,338,spatial_morton_order_not_time,0,0.5-1,8823,4,3,4,0,23.017543,20.187002,19.856887,0.665562,0.277119,0.096774,0.903226,critical,0,89.854346,5.0,1,1,1,3,1
edge_00,2000-01-01T00:07:15,435,435,spatial_morton_order_not_time,0,0.5-1,13663,1,7,6,0,9.340178,38.633341,28.970295,0.630435,0.294493,0.0,1.0,critical,0,89.854346,5.0,1,1,1,3,1
edge_01,2000-01-01T00:04:25,265,265,spatial_morton_order_not_time,0,0.5-1,8136,3,0,4,1,18.348108,4.153265,19.897507,0.645564,0.296226,0.129032,0.870968,critical,1,89.921491,5.5,1,1,1,3,1
edge_01,2000-01-01T00:05:09,309,309,spatial_morton_order_not_time,0,0.5-1,14576,1,2,7,1,9.208077,13.413521,33.627892,0.639736,0.295694,0.096774,0.903226,critical,0,89.921491,5.5,1,1,1,3,1
edge_01,2000-01-01T00:10:17,617,1313,spatial_morton_order_not_time,0,0.5-1,13884,1,8,6,1,9.351847,40.927208,28.963949,0.65075,0.279066,0.032258,0.967742,critical,1,89.921491,5.5,1,1,1,3,1
edge_02,2000-01-01T00:02:22,142,142,spatial_morton_order_not_time,0,0.5-1,3165,2,5,1,2,16.182139,27.06546,6.068774,0.835157,0.149764,0.290323,0.677419,watch,0,89.854346,5.0,1,1,0,2,1
edge_02,2000-01-01T00:02:36,156,156,spatial_morton_order_not_time,0,0.5-1,3385,2,6,1,2,16.205478,31.653193,6.056082,0.832657,0.147724,0.129032,0.870968,watch,0,89.854346,5.0,1,1,0,2,1
edge_02,2000-01-01T00:03:06,186,186,spatial_morton_order_not_time,0,0.5-1,5621,2,7,2,2,16.22508,36.253638,10.631181,0.731343,0.222232,0.064516,0.935484,high,0,89.854346,5.0,1,1,1,3,1
edge_02,2000-01-01T00:05:17,317,317,spatial_morton_order_not_time,0,0.5-1,14625,3,2,7,2,20.677449,13.3552,33.637397,0.615027,0.30834,0.0,1.0,critical,0,89.854346,5.0,1,1,1,3,1
edge_02,2000-01-01T00:07:44,464,464,spatial_morton_order_not_time,0,0.5-1,9481,4,6,4,2,25.369765,31.64467,19.827058,0.82851,0.156691,0.16129,0.83871,watch,0,89.854346,5.0,1,1,0,2,1
edge_02,2000-01-01T00:10:16,616,1312,spatial_morton_order_not_time,0,0.5-1,13857,0,8,6,2,7.057973,40.938872,28.962049,0.65448,0.281778,0.064516,0.935484,critical,1,89.854346,5.0,1,1,1,3,1
edge_02,2000-01-01T00:10:30,630,1356,spatial_morton_order_not_time,0,0.5-1,12009,6,8,5,2,34.588204,40.78619,24.397068,0.767271,0.19119,0.032258,0.967742,moderate,1,89.854346,5.0,1,1,0,2,1
edge_03,2000-01-01T00:04:24,264,264,spatial_morton_order_not_time,0,0.5-1,8114,2,0,4,3,16.065903,6.458796,19.889261,0.626367,0.302679,0.064516,0.935484,critical,1,89.921491,4.5,1,1,1,3,1
edge_03,2000-01-01T00:05:56,356,356,spatial_morton_order_not_time,0,0.5-1,14210,4,0,7,3,25.23019,6.450272,33.660236,0.653639,0.280604,0.032258,0.967742,critical,1,89.921491,4.5,1,1,1,3,1
edge_03,2000-01-01T00:07:14,434,434,spatial_morton_order_not_time,0,0.5-1,13638,0,7,6,3,7.046303,38.645006,28.968395,0.662934,0.270682,0.032258,0.967742,high,1,89.921491,4.5,1,1,1,3,1
edge_03,2000-01-01T00:07:58,478,478,spatial_morton_order_not_time,0,0.5-1,11766,6,7,5,3,34.576534,38.492324,24.403414,0.741553,0.206639,0.0,1.0,high,0,89.921491,4.5,0,1,1,2,1
