sequence_id,pseudo_timestamp,sequence_position,spatial_morton_code,sequence_semantics,is_true_time_series,specimen_id,strut_id,unit_cell_i,unit_cell_j,unit_cell_k,unit_cell_edge_idx,midpoint_x_mm,midpoint_y_mm,midpoint_z_mm,ct_relative_local_intensity,ct_defect_score,ct_support_fraction,ct_longest_gap_fraction,ct_severity_layer,near_boundary_one_cell,angle_to_build_z_deg,mean_endpoint_degree,adtk_iqr_low_anomaly,adtk_quantile_low_anomaly,adtk_persist_negative_anomaly,adtk_detector_votes,adtk_consensus_anomaly
edge_00,2000-01-01T00:00:00,0,0,spatial_morton_order_not_time,0,0.5-1,3,0,0,0,0,4.611479,6.466272,1.528593,0.978803,0.020853,1.0,0.0,supported,1,89.854346,5.0,0,0,0,0,0
edge_00,2000-01-01T00:00:01,1,1,spatial_morton_order_not_time,0,0.5-1,27,1,0,0,0,9.199228,6.442943,1.532395,0.966712,0.029815,1.0,0.0,supported,1,89.854346,5.0,0,0,0,0,0
edge_00,2000-01-01T00:00:02,2,2,spatial_morton_order_not_time,0,0.5-1,223,0,1,0,0,4.634818,11.054005,1.515901,0.999665,0.004492,1.0,0.0,supported,1,89.854346,5.0,0,0,0,0,0
edge_00,2000-01-01T00:00:03,3,3,spatial_morton_order_not_time,0,0.5-1,247,1,1,0,0,9.222567,11.030676,1.519703,0.955397,0.038621,1.0,0.0,supported,1,89.854346,5.0,0,0,0,0,0
edge_00,2000-01-01T00:00:04,4,4,spatial_morton_order_not_time,0,0.5-1,2019,0,0,1,0,4.607742,6.478983,6.116384,1.053898,0.0,1.0,0.0,supported,1,89.854346,5.0,0,0,0,0,0
edge_00,2000-01-01T00:00:05,5,5,spatial_morton_order_not_time,0,0.5-1,2043,1,0,1,0,9.195491,6.455655,6.120186,0.929145,0.064832,1.0,0.0,supported,1,89.854346,5.0,0,0,0,0,0
edge_00,2000-01-01T00:00:06,6,6,spatial_morton_order_not_time,0,0.5-1,2239,0,1,1,0,4.631081,11.066716,6.103692,1.067303,0.0,1.0,0.0,supported,1,89.854346,5.0,0,0,0,0,0
edge_00,2000-01-01T00:00:07,7,7,spatial_morton_order_not_time,0,0.5-1,2263,1,1,1,0,9.21883,11.043388,6.107494,0.952681,0.046052,1.0,0.0,supported,0,89.854346,5.0,0,0,0,0,0
edge_00,2000-01-01T00:00:08,8,8,spatial_morton_order_not_time,0,0.5-1,51,2,0,0,0,13.786977,6.419615,1.536197,0.957941,0.039782,1.0,0.0,supported,1,89.854346,5.0,0,0,0,0,0
edge_00,2000-01-01T00:00:09,9,9,spatial_morton_order_not_time,0,0.5-1,75,3,0,0,0,18.374726,6.396287,1.539998,0.960744,0.035224,1.0,0.0,supported,1,89.854346,5.0,0,0,0,0,0
edge_00,2000-01-01T00:00:10,10,10,spatial_morton_order_not_time,0,0.5-1,271,2,1,0,0,13.810316,11.007348,1.523505,0.936135,0.054682,1.0,0.0,supported,1,89.854346,5.0,0,0,0,0,0
edge_00,2000-01-01T00:00:11,11,11,spatial_morton_order_not_time,0,0.5-1,295,3,1,0,0,18.398065,10.98402,1.527306,0.942062,0.047782,1.0,0.0,supported,1,89.854346,5.0,0,0,0,0,0
edge_00,2000-01-01T00:00:12,12,12,spatial_morton_order_not_time,0,0.5-1,2067,2,0,1,0,13.78324,6.432326,6.123988,0.937181,0.065475,1.0,0.0,supported,1,89.854346,5.0,0,0,0,0,0
edge_00,2000-01-01T00:00:13,13,13,spatial_morton_order_not_time,0,0.5-1,2091,3,0,1,0,18.370989,6.408998,6.127789,0.964947,0.042186,1.0,0.0,supported,1,89.854346,5.0,0,0,0,0,0
edge_00,2000-01-01T00:00:14,14,14,spatial_morton_order_not_time,0,0.5-1,2287,2,1,1,0,13.806579,11.020059,6.111296,0.956862,0.048411,1.0,0.0,supported,0,89.854346,5.0,0,0,0,0,0
edge_00,2000-01-01T00:00:15,15,15,spatial_morton_order_not_time,0,0.5-1,2311,3,1,1,0,18.394328,10.996731,6.115097,0.949586,0.05743,1.0,0.0,supported,0,89.854346,5.0,0,0,0,0,0
edge_00,2000-01-01T00:00:16,16,16,spatial_morton_order_not_time,0,0.5-1,443,0,2,0,0,4.658157,15.641738,1.503209,1.017111,0.0,1.0,0.0,supported,1,89.854346,5.0,0,0,0,0,0
edge_00,2000-01-01T00:00:17,17,17,spatial_morton_order_not_time,0,0.5-1,467,1,2,0,0,9.245906,15.618409,1.507011,0.959438,0.034361,1.0,0.0,supported,1,89.854346,5.0,0,0,0,0,0
edge_00,2000-01-01T00:00:18,18,18,spatial_morton_order_not_time,0,0.5-1,663,0,3,0,0,4.681496,20.229471,1.490517,1.02094,0.0,1.0,0.0,supported,1,89.854346,5.0,0,0,0,0,0
edge_00,2000-01-01T00:00:19,19,19,spatial_morton_order_not_time,0,0.5-1,687,1,3,0,0,9.269245,20.206142,1.494319,0.955232,0.038079,1.0,0.0,supported,1,89.854346,5.0,0,0,0,0,0
edge_00,2000-01-01T00:00:20,20,20,spatial_morton_order_not_time,0,0.5-1,2459,0,2,1,0,4.65442,15.654449,6.091,1.048223,0.0,1.0,0.0,supported,1,89.854346,5.0,0,0,0,0,0
edge_00,2000-01-01T00:00:21,21,21,spatial_morton_order_not_time,0,0.5-1,2483,1,2,1,0,9.242169,15.631121,6.094802,0.956244,0.048862,1.0,0.0,supported,0,89.854346,5.0,0,0,0,0,0
edge_00,2000-01-01T00:00:22,22,22,spatial_morton_order_not_time,0,0.5-1,2679,0,3,1,0,4.677759,20.242182,6.078308,1.080849,0.0,1.0,0.0,supported,1,89.854346,5.0,0,0,0,0,0
edge_00,2000-01-01T00:00:23,23,23,spatial_morton_order_not_time,0,0.5-1,2703,1,3,1,0,9.265508,20.218854,6.08211,0.960428,0.049088,0.967742,0.032258,supported,0,89.854346,5.0,0,0,0,0,0
edge_00,2000-01-01T00:00:24,24,24,spatial_morton_order_not_time,0,0.5-1,491,2,2,0,0,13.833655,15.595081,1.510813,0.93659,0.053409,1.0,0.0,supported,1,89.854346,5.0,0,0,0,0,0
