specimen_id,strut_id,isolation_forest_anomaly,isolation_forest_anomaly_score,ct_severity_layer
0.5-1,0,False,-0.21172991189257734,supported
0.5-1,1,False,-0.23547364947943533,supported
0.5-1,2,False,-0.22447188722704958,supported
0.5-1,3,False,-0.2253545571371074,supported
0.5-1,4,False,-0.08985171658409208,watch
0.5-1,5,False,-0.01792762986944285,moderate
0.5-1,6,False,-0.31065700812884667,supported
0.5-1,7,False,-0.19437231885220974,supported
0.5-1,8,False,-0.263132078893262,supported
0.5-1,9,False,-0.11364494893649146,watch
0.5-1,10,True,0.01246079608137407,high
0.5-1,11,False,-0.28882024198653306,supported
0.5-1,12,False,-0.2925230892939719,supported
0.5-1,13,False,-0.24250324122579947,supported
0.5-1,14,False,-0.2561107347975409,supported
0.5-1,15,False,-0.23039202242867968,supported
0.5-1,16,False,-0.30579690606948323,supported
0.5-1,17,False,-0.25904575000481644,supported
0.5-1,18,False,-0.2941650011132825,supported
0.5-1,19,False,-0.22414239408584552,supported
0.5-1,20,False,-0.2678152144913078,supported
0.5-1,21,False,-0.3155097609323336,supported
0.5-1,22,False,-0.2915504980025031,supported
0.5-1,23,False,-0.23506153592485646,supported
0.5-1,24,False,-0.2403667678608276,supported
0.5-1,25,False,-0.22947942705089425,supported
0.5-1,26,False,-0.22854350055358885,supported
0.5-1,27,False,-0.22873589891387924,supported
0.5-1,28,False,-0.24580096989190403,supported
0.5-1,29,False,-0.2357171850955122,supported
0.5-1,30,False,-0.2988148352914579,supported
0.5-1,31,False,-0.31185866496936243,supported
0.5-1,32,False,-0.27332853260791,supported
0.5-1,33,False,-0.24574043661850015,supported
0.5-1,34,False,-0.304728436265496,supported
0.5-1,35,False,-0.3053962875539803,supported
0.5-1,36,False,-0.27928702132250216,supported
0.5-1,37,False,-0.26365779407702244,supported
0.5-1,38,False,-0.2748537470606836,supported
0.5-1,39,False,-0.23751515198521628,supported
0.5-1,40,False,-0.3078056111821361,supported
0.5-1,41,False,-0.24833126561043983,supported
0.5-1,42,False,-0.29008449060711017,supported
0.5-1,43,False,-0.24057457139723237,supported
0.5-1,44,False,-0.27368715618688033,supported
0.5-1,45,False,-0.29617800025916674,supported
0.5-1,46,False,-0.3057832331561166,supported
0.5-1,47,False,-0.2520631613652004,supported
0.5-1,48,False,-0.23350845758811395,supported
0.5-1,49,False,-0.23238627871412265,supported
0.5-1,50,False,-0.22877749073584935,supported
0.5-1,51,False,-0.23768459693737637,supported
0.5-1,52,False,-0.25937357344191053,supported
0.5-1,53,False,-0.2634112932743356,supported
0.5-1,54,False,-0.30273505007636936,supported
0.5-1,55,False,-0.30879922696743106,supported
0.5-1,56,False,-0.24625309770829001,supported
0.5-1,57,False,-0.25935268713836424,supported
0.5-1,58,False,-0.28144160569962573,supported
0.5-1,59,False,-0.3019188490707168,supported
0.5-1,60,False,-0.27873740842238237,supported
0.5-1,61,False,-0.27752843269369176,supported
0.5-1,62,False,-0.2740576210233963,supported
0.5-1,63,False,-0.24734430677638714,supported
0.5-1,64,False,-0.28973616013878944,supported
0.5-1,65,False,-0.24429959333322138,supported
0.5-1,66,False,-0.3048308730556652,supported
0.5-1,67,False,-0.23369463524281125,supported
0.5-1,68,False,-0.27234904097628293,supported
0.5-1,69,False,-0.29718992943786543,supported
0.5-1,70,False,-0.30765083270376803,supported
0.5-1,71,False,-0.28317998693646707,supported
0.5-1,72,False,-0.23020592474709195,supported
0.5-1,73,False,-0.22112225544274283,supported
0.5-1,74,False,-0.23997453175746164,supported
0.5-1,75,False,-0.22891061206770047,supported
0.5-1,76,False,-0.2756255093098089,supported
0.5-1,77,False,-0.2508085067664989,supported
0.5-1,78,False,-0.3020524172572502,supported
0.5-1,79,False,-0.3132740280078766,supported
0.5-1,80,False,-0.24368093082879871,supported
0.5-1,81,False,-0.16282211153560855,supported
0.5-1,82,False,-0.28579634069774995,supported
0.5-1,83,False,-0.31246172584640536,supported
0.5-1,84,False,-0.27715493525445356,supported
0.5-1,85,False,-0.3099690092984734,supported
0.5-1,86,False,-0.2633006764428017,supported
0.5-1,87,False,-0.22243014905942865,supported
0.5-1,88,False,-0.2829411374211476,supported
0.5-1,89,False,-0.24195095250822518,supported
0.5-1,90,False,-0.2752059026168299,supported
0.5-1,91,False,-0.25144191932967347,supported
0.5-1,92,False,-0.24908087950815583,supported
0.5-1,93,False,-0.2994734647309929,supported
0.5-1,94,False,-0.3087504888225461,supported
0.5-1,95,False,-0.2787514940082438,supported
0.5-1,96,False,-0.22392428541110476,supported
0.5-1,97,False,-0.20123521745813278,supported
0.5-1,98,False,-0.22099526904753242,supported
0.5-1,99,False,-0.22598845755677016,supported
0.5-1,100,False,-0.2716367873283033,supported
0.5-1,101,False,-0.27581626483584276,supported
0.5-1,102,False,-0.29517972073311466,supported
0.5-1,103,False,-0.3160036031837495,supported
0.5-1,104,False,-0.24156231427232172,supported
0.5-1,105,False,-0.29414604638350367,supported
0.5-1,106,False,-0.2983998622673672,supported
0.5-1,107,False,-0.3021609765817052,supported
0.5-1,108,False,-0.30884541430297285,supported
0.5-1,109,False,-0.3149840278629928,supported
0.5-1,110,False,-0.2578956082758313,supported
0.5-1,111,False,-0.22556715120932036,supported
0.5-1,112,False,-0.2804028759122126,supported
0.5-1,113,False,-0.2317715013658994,supported
0.5-1,114,False,-0.28141771902434054,supported
0.5-1,115,False,-0.24797356593004577,supported
0.5-1,116,False,-0.2068184639434122,supported
0.5-1,117,False,-0.30280607734850906,supported
0.5-1,118,False,-0.31123207765035,supported
0.5-1,119,False,-0.26314152186604645,supported
0.5-1,120,False,-0.20555505231101817,supported
0.5-1,121,False,-0.18596436089192114,supported
0.5-1,122,False,-0.2069167098839847,supported
0.5-1,123,False,-0.2032765339537807,supported
0.5-1,124,False,-0.2854941046036384,supported
0.5-1,125,False,-0.1478355034133203,watch
0.5-1,126,False,-0.2756130443054337,supported
0.5-1,127,False,-0.30369823483409797,supported
0.5-1,128,False,-0.24167135874203316,supported
0.5-1,129,False,-0.28864945909045353,supported
0.5-1,130,False,-0.29790165413526754,supported
0.5-1,131,False,-0.1901266733882152,supported
0.5-1,132,False,-0.2905298748720833,supported
0.5-1,133,False,-0.3118363059305046,supported
0.5-1,134,False,-0.14802029138902695,supported
0.5-1,135,False,-0.2060772973707462,supported
0.5-1,136,False,-0.24844901945143677,supported
0.5-1,137,False,-0.17603293029359712,supported
0.5-1,138,False,-0.2440710524632771,supported
0.5-1,139,False,-0.269395763518236,supported
0.5-1,140,False,-0.17650902599921858,supported
0.5-1,141,False,-0.24894931917658875,supported
0.5-1,142,False,-0.20722593690922703,supported
0.5-1,143,False,-0.282915327770873,supported
0.5-1,144,False,-0.17275829697167167,supported
